player,speed,endurance,weight,height,agility,strength
Ailbert Dincey,57,18,137,208,67,25
Waldon Yule,3,45,107,193,25,6
Gae Cicco,18,40,100,182,74,5
Bernita Wormleighton,7,30,141,197,82,99
Manya Harding,42,43,145,210,21,88
Fredi Gorger,3,93,103,216,17,78
Marilin Bursell,5,53,87,203,10,3
Mabel Castellan,38,74,148,190,56,81
Cordy Chetwin,12,31,132,202,66,73
Richmond Feighry,8,37,105,205,65,20
Enoch Moses,93,1,112,185,54,100
Cass Karpf,84,64,123,202,18,36
Mikkel Yitzhakov,35,5,93,216,80,20
Deeyn Daniell,98,45,134,194,99,16
Reyna Crus,28,97,134,194,68,23
Laurene Greydon,99,48,122,189,26,20
Dora Marven,18,15,139,212,71,38
Deb Whitehair,50,1,81,181,49,100
Charlotta Tromans,76,75,116,208,76,98
Timothea Puddefoot,89,90,100,184,2,42
Averyl Allcock,78,28,135,204,40,7
Ebenezer Tidd,16,37,115,202,78,68
Nannette Schankel,63,29,103,209,47,68
Blanca Desbrow,94,67,104,213,99,66
Harley Dollen,65,5,83,220,4,86
Ardyth Tadd,39,72,137,202,48,49
Sutherlan Sutheran,52,18,123,199,49,32
Hendrick Manning,35,63,138,184,15,90
Eben Gluyus,84,66,109,194,62,31
Salomo Kinsett,55,4,146,210,91,90
Brett Annesley,22,63,135,215,38,64
Allis Aitchison,2,48,120,198,70,16
Arron Barten,66,43,128,180,87,14
Winifield Duns,59,28,80,205,90,98
Chet Widdowes,29,17,113,210,47,10
Harmonia Bohea,84,93,99,188,78,93
Hartwell Nelsen,71,25,133,188,43,53
Emanuele Crinkley,15,72,94,208,52,33
Bram Jewis,90,48,84,185,61,77
Giusto Konertz,95,49,137,213,32,24
Rosie Rubinfeld,40,99,150,206,21,5
Odelle Cuel,9,94,95,207,55,70
Dexter Chatenier,19,38,126,180,94,89
Christine Pescud,29,63,115,181,75,69
Dave Britto,72,24,107,198,93,55
Devy McKirton,23,77,86,202,11,9
Marcile Besse,32,43,99,215,77,61
Glennis Skeete,83,28,124,217,24,43
Amye Craster,98,98,84,211,44,57
Milton Rounding,26,59,90,181,96,54
Philly Bolles,98,86,97,181,42,97
Jeramey Rummery,28,69,118,181,63,58
Hal Lampel,13,5,150,219,54,36
Rori Kearsley,96,33,140,192,15,59
Aleksandr Elstow,39,57,99,213,93,29
Jeralee Womersley,1,51,100,202,67,23
Selle Litster,57,49,140,183,57,29
Denys Barrat,61,41,134,202,51,53
Cynde Ayling,8,83,142,195,79,88
Cullan McGenn,68,95,82,196,53,37
Anthony Philipeaux,85,51,137,214,34,9
Irving Pennone,92,24,108,186,24,75
Berk Emlyn,35,71,150,188,56,61
Veronique Themann,31,19,94,196,38,5
Kelsey Gebbie,68,42,89,202,63,75
Glyn Burkart,75,48,126,203,71,11
Saunder Ramelot,3,42,116,192,74,73
Aloysius Ornelas,87,20,102,189,89,81
Mildred Orgel,93,93,96,204,90,27
Elvyn Rapper,4,40,88,197,26,52
Danyette Syphus,72,85,98,191,73,84
Annabella Sibun,62,9,135,199,94,62
Lavinia Roseman,33,51,129,202,53,19
Nata Clark,29,2,100,211,67,66
Ashli Helix,74,76,91,185,36,24
Gwendolyn Tansly,74,55,107,186,97,45
Manny Richel,1,12,111,190,85,94
Audre Grinvalds,21,25,101,208,30,28
Kaylee Verlinde,35,34,96,212,32,22
Cathlene Cannop,71,21,102,205,35,100
Katheryn Weller,69,1,106,203,71,13
Annette Sharples,76,51,141,182,27,60
Pen Di Angelo,23,59,91,202,80,90
Uriah Macey,84,10,126,195,30,47
Irwinn Sinkings,25,30,91,190,34,87
Hollie Niven,85,62,125,216,23,15
Karon Cundict,61,97,105,193,19,67
Broddie Vinau,52,48,114,213,41,98
Chrissie Cattroll,1,6,135,191,38,3
Othelia Mathivon,46,47,132,185,99,89
Virgie Scopyn,56,34,122,187,60,75
Sara Alderman,54,63,98,190,34,65
Efren Larrad,58,95,95,202,73,7
Cicely Placide,51,79,108,216,97,34
Lanae Dubber,4,2,139,211,30,62
Charlotte Wace,51,48,87,211,64,67
Steve Barhams,52,27,139,216,65,68
Georgianne Velareal,49,34,105,186,28,54
Kristyn Taysbil,57,47,94,183,89,69
Margarette Bahls,58,60,92,180,61,17s
